 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|busroutes
 bangalore|south-1|vajara halli|32868|GKHPS ALAHALLI|Upper Primary|co-ed|kannada|avalahalli south range- 1|bangalore|560062|masjid|
 bangalore|north-4|yelehanka new town|32894|GKLPS RAMAGONDANAHALLI|Lower Primary|co-ed|kannada|||560064|near ramgondahallibus stop|
 bangalore|north-1|madanayakanahalli|33292|GKHPS SRIKANTAPURA|Upper Primary|co-ed|kannada||bangalore|560073|opposite oxford public school|
 bangalore|south-2|chamarajpet|32136|GTHPS BELIMUTT|Upper Primary|co-ed|tamil|belimutt road bangalore- 53|bangalore|560053|bakshigarden arch near super talkies|
 bangalore|anekal|chikkahosahalli|32514|GKHPS INDILWADI|Upper Primary|co-ed|kannada|Indalwadi Post, Anekal Thaluk, Kasab Hobli|Indalwadi|562107|Opp Indalwadi Bus Stop|KSRTC
 bangalore|anekal|hebbagodi|32701|GKHPS HEBBAGODI|Upper Primary|co-ed|kannada|Bommasandra Post, Anekal Taluk, Hosur Road|Hebagodi|560099|Opposite Hebbagodi Bus Stop|360, 373 A, 356, 351
 bangalore|anekal|dommasandra|32914|GKHPS JANATHA COLONY|Upper Primary|co-ed|kannada|Muthanallur Cross To Main Road, Dommasandra Post, Sarjapura Hobli, Anekal Thaluk, Bangalore|Janatha Colony|562125|Near Veeranjanaya Ground|342,342A,342F,342R,G3
 bangalore|anekal|dommasandra|32916|GKHPS ITTANGURU|Upper Primary|co-ed|kannada|Sarjapur Post, Sarjapur Hobli, Anekal Taluk, Bangalore|Ittangur|562125|Opp Ashwath Katte & Bus Stop (Ittangur)|342W
 bangalore|anekal|dommasandra|32923|GKLPS YAMRE|Lower Primary|co-ed|kannada|Dommasandra Post, Sarjapura Hobli, Anekal Taluk|Yamare|562125|Infront Yamare Bus Stop|342, 342 A, 342 F, 342 R, G3
 bangalore|anekal|sarjapura|32944|GKHPS ADIGARAKALLAHALLI|Upper Primary|co-ed|kannada|Bidaraguppe Post, Srajapura Hoblik, Anekal Taluk|Adigarakallahalli|562107|Behind Adigarakallahalli Bus Stop|342 K Last Stop
